X_Fit,Y_Fit
225.0,0.7810801712684338
1746.4242424242425,0.7163551951048747
3267.848484848485,0.6976571451632937
4789.272727272728,0.686490528582296
6310.69696969697,0.6785427865333904
7832.121212121212,0.6723844718722859
9353.545454545456,0.6673647614882252
10874.969696969698,0.6631326742195898
12396.39393939394,0.6594774507813577
13917.818181818182,0.6562626901521414
15439.242424242424,0.6533950876785395
16960.666666666668,0.6508080335936776
18482.09090909091,0.6484523318951767
20003.515151515152,0.6462906273507957
21524.939393939396,0.6442938949360125
23046.363636363636,0.6424391393004637
24567.78787878788,0.6407078362995584
26089.212121212124,0.6390848469267386
27610.636363636364,0.6375576417434744
29132.060606060608,0.636115735117968
30653.484848484848,0.6347502647081759
32174.909090909092,0.6334536736632838
33696.333333333336,0.6322194668611756
35217.757575757576,0.631042021423117
36739.18181818182,0.6299164376337035
38260.606060606064,0.6288384203590444
39782.030303030304,0.6278041837772238
41303.454545454544,0.6268103741345946
42824.87878787879,0.6258540065882501
44346.30303030303,0.6249324131636196
45867.72727272727,0.6240431995619292
47389.15151515152,0.623184209072822
48910.57575757576,0.62235349223568
50432.0,0.6215492811857914
51953.42424242425,0.6207699678441669
53474.84848484849,0.6200140852807736
54996.27272727273,0.619280291713365
56517.696969696975,0.6185673567074177
58039.121212121216,0.617874149223962
59560.545454545456,0.6171996272264433
61081.969696969696,0.6165428286090607
62603.39393939394,0.615902863250175
64124.818181818184,0.6152789060275885
65646.24242424243,0.6146701906594477
67167.66666666667,0.6140760042564901
68689.09090909091,0.6134956824893903
70210.51515151515,0.6129286052897988
71731.93939393939,0.6123741930159579
73253.36363636365,0.611831903023993
74774.78787878789,0.6113012265945015
76296.21212121213,0.6107816861712073
77817.63636363637,0.6102728328744593
79339.06060606061,0.6097742442574251
80860.48484848485,0.6092855222771327
82381.90909090909,0.6088062914561676
83903.33333333334,0.6083361972139464
85424.75757575758,0.6078749043491617
86946.18181818182,0.6074220956572742
88467.60606060606,0.6069774706689006
89989.0303030303,0.6065407444966454
91510.45454545454,0.6061116467793919
93031.8787878788,0.6056899207143458
94553.30303030304,0.6052753221682323
96074.72727272728,0.6048676188600126
97596.15151515152,0.6044665896083325
99117.57575757576,0.6040720236376554
100639.0,0.6036837199376769
102160.42424242424,0.6033014866711929
103681.8484848485,0.6029251406260944
105203.27272727274,0.6025545067076051
106724.69696969698,0.6021894174672718
108246.12121212122,0.6018297126655638
109767.54545454546,0.601475238865249
111288.9696969697,0.6011258490529868
112810.39393939395,0.6007814022868224
114331.81818181819,0.6004417633674871
115853.24242424243,0.6001068025316051
117374.66666666667,0.5997763951650754
118896.09090909091,0.5994504215350661
120417.51515151515,0.5991287665391841
121938.93939393939,0.5988113194705236
123460.36363636365,0.5984979737973998
124981.78787878789,0.5981886269566834
126503.21212121213,0.597883180159741
128024.63636363637,0.5975815382100713
129546.06060606061,0.5972836093318018
131067.48484848485,0.5969893050082805
132588.9090909091,0.5966985398300588
134110.33333333334,0.5964112313516179
135631.75757575757,0.5961272999562431
137153.18181818182,0.5958466687284969
138674.60606060608,0.5955692633337841
140196.0303030303,0.5952950119045429
141717.45454545456,0.5950238449326269
143238.87878787878,0.5947556951674826
144760.30303030304,0.5944904975197487
146281.7272727273,0.5942281889699377
147803.15151515152,0.59396870848188
149324.57575757577,0.5937119969206374
150846.0,0.5934579969746109
