W_S,T_W_Cruise
10,1.755256544
11,1.597924627
12,1.467009978
13,1.356416303
14,1.261789109
15,1.1799351
16,1.108459302
17,1.045530268
18,0.989723536
19,0.939914532
20,0.895203598
21,0.854862438
22,0.818295172
23,0.785009555
24,0.75459538
25,0.726708074
26,0.701056076
27,0.677391017
28,0.655500011
29,0.635199536
30,0.616330539
31,0.598754489
32,0.582350173
33,0.567011069
34,0.552643188
35,0.539163283
36,0.526497355
37,0.514579406
38,0.503350386
39,0.492757299
40,0.482752451
41,0.4732928
42,0.464339404
43,0.455856941
44,0.447813304
45,0.440179236
46,0.432928028
47,0.42603524
48,0.419478473
49,0.413237152
50,0.407292352
51,0.40162663
52,0.396223886
53,0.391069233
54,0.386148889
55,0.381450073
56,0.376960919
57,0.37267039
58,0.368568214
59,0.364644813
60,0.360891248
61,0.357299167
62,0.353860755
63,0.350568697
64,0.34741613
65,0.344396617
66,0.341504111
67,0.338732923
68,0.336077703
69,0.333533407
70,0.331095283
71,0.328758843
72,0.326519851
73,0.324374303
74,0.32231841
75,0.320348585
76,0.318461432
77,0.316653729
78,0.314922421
79,0.313264607
80,0.31167753
81,0.310158571
82,0.308705237
83,0.307315157
84,0.305986071
85,0.304715827
86,0.303502373
87,0.302343749
88,0.301238086
89,0.300183601
90,0.299178585
91,0.29822141
92,0.297310514
93,0.296444405
94,0.295621653
95,0.294840889
96,0.294100802
97,0.293400132
98,0.292737674
99,0.292112269
100,0.291522807
101,0.290968218
102,0.290447478
103,0.289959601
104,0.289503638
105,0.289078679
106,0.288683845
107,0.288318291
108,0.287981205
109,0.287671803
110,0.28738933
111,0.287133058
112,0.286902285
113,0.286696335
114,0.286514554
115,0.286356311
116,0.286220998
117,0.286108027
118,0.28601683
119,0.285946858
120,0.28589758
121,0.285868484
122,0.285859072
123,0.285868866
124,0.285897399
125,0.285944223
126,0.286008903
127,0.286091015
128,0.286190152
129,0.286305917
130,0.286437928
131,0.286585812
132,0.286749207
133,0.286927765
134,0.287121146
135,0.287329021
136,0.287551069
137,0.28778698
138,0.288036454
139,0.288299196
140,0.288574924
141,0.28886336
142,0.289164237
143,0.289477292
144,0.289802273
145,0.290138933
146,0.290487032
147,0.290846336
148,0.291216618
149,0.291597657
150,0.291989238
151,0.292391152
152,0.292803194
153,0.293225167
154,0.293656875
155,0.294098133
156,0.294548754
157,0.295008561
158,0.295477379
159,0.295955039
160,0.296441374
161,0.296936222
162,0.297439427
163,0.297950833
164,0.298470292
165,0.298997657
166,0.299532785
167,0.300075536
168,0.300625775
169,0.301183368
170,0.301748185
171,0.302320101
172,0.302898991
173,0.303484733
174,0.304077211
175,0.304676309
176,0.305281913
177,0.305893913
178,0.306512202
179,0.307136675
180,0.307767227
181,0.308403759
182,0.309046172
183,0.309694369
184,0.310348257
185,0.311007742
186,0.311672735
187,0.312343147
188,0.313018891
189,0.313699884
190,0.314386042
191,0.315077284
192,0.315773531
193,0.316474705
194,0.317180729
195,0.317891529
196,0.318607033
197,0.319327167
198,0.320051863
199,0.320781051
200,0.321514664
201,0.322252636
202,0.322994902
203,0.323741399
204,0.324492065
205,0.325246838
206,0.326005659
207,0.326768469
208,0.32753521
209,0.328305827
210,0.329080263
211,0.329858465
212,0.330640379
213,0.331425952
214,0.332215135
215,0.333007875
216,0.333804124
217,0.334603834
218,0.335406956
219,0.336213444
220,0.337023252
221,0.337836335
222,0.338652648
223,0.339472149
224,0.340294795
225,0.341120543
226,0.341949352
227,0.342781183
228,0.343615994
229,0.344453748
230,0.345294405
231,0.346137929
232,0.346984282
233,0.347833427
234,0.348685329
235,0.349539952
236,0.350397263
237,0.351257226
238,0.352119809
239,0.352984979
240,0.353852703
241,0.35472295
242,0.355595687
243,0.356470886
244,0.357348514
245,0.358228543
246,0.359110944
247,0.359995686
248,0.360882743
249,0.361772086
250,0.362663688
251,0.363557521
252,0.36445356
253,0.365351778
254,0.366252149
255,0.367154648
256,0.36805925
257,0.36896593
258,0.369874665
259,0.370785431
260,0.371698203
261,0.37261296
262,0.373529677
263,0.374448334
264,0.375368908
265,0.376291377
266,0.37721572
267,0.378141915
268,0.379069943
269,0.379999782
270,0.380931412
271,0.381864815
272,0.382799969
273,0.383736856
274,0.384675457
275,0.385615754
276,0.386557727
277,0.387501358
278,0.388446631
279,0.389393526
280,0.390342027
281,0.391292117
282,0.392243778
283,0.393196994
284,0.394151749
285,0.395108026
286,0.396065809
287,0.397025083
288,0.397985832
289,0.398948041
290,0.399911695
291,0.400876778
292,0.401843277
293,0.402811176
294,0.403780461
295,0.404751119
296,0.405723135
297,0.406696495
298,0.407671187
299,0.408647196
300,0.40962451
301,0.410603116
302,0.411583
303,0.41256415
304,0.413546553
305,0.414530198
306,0.415515072
307,0.416501163
308,0.417488459
309,0.418476949
310,0.41946662
311,0.420457463
312,0.421449464
313,0.422442613
314,0.4234369
315,0.424432313
316,0.425428842
317,0.426426476
318,0.427425204
319,0.428425017
320,0.429425904
321,0.430427855
322,0.431430861
323,0.432434911
324,0.433439996
325,0.434446106
326,0.435453232
327,0.436461364
328,0.437470494
329,0.438480612
330,0.439491709
331,0.440503776
332,0.441516805
333,0.442530787
334,0.443545714
335,0.444561576
336,0.445578365
337,0.446596074
338,0.447614695
339,0.448634218
340,0.449654636
341,0.450675942
342,0.451698126
343,0.452721183
344,0.453745104
345,0.454769881
346,0.455795508
347,0.456821976
348,0.457849279
349,0.45887741
350,0.459906361
